company_id,sales,net_profit,operating_profit,borrowings,zscore_anomaly,isolation_forest_flag,isolation_anomaly
ABB,6066.0,1285.0,1547.0,60.0,False,1,False
ADANIENSOL,22099.0,589.0,6592.0,39009.0,False,1,False
ADANIENT,102311.0,6086.0,13893.0,80427.0,False,1,False
ADANIGREEN,10782.0,1928.0,8100.0,67430.0,False,1,False
ADANIPORTS,28443.0,9743.0,17165.0,50485.0,False,1,False
ADANIPORTS,28443.0,9743.0,17165.0,50485.0,False,1,False
ADANIPOWER,54650.0,12686.0,20965.0,37705.0,False,1,False
AMBUJACEM,32850.0,3871.0,5822.0,779.0,False,1,False
APOLLOHOSP,20469.0,1224.0,2745.0,7371.0,False,1,False
ASIANPAINT,34831.0,4631.0,6681.0,2474.0,False,1,False
ATGL,4826.0,668.0,1153.0,1457.0,False,1,False
BAJAJ-AUTO,48900.0,7371.0,9143.0,5245.0,False,1,False
AXISBANK,120659.0,26386.0,44566.0,1295302.0,False,1,False
BAJAJFINSV,126263.0,16520.0,45479.0,318675.0,False,1,False
BAJAJHLDNG,1733.0,7486.0,1554.0,47.0,False,1,False
BAJFINANCE,62279.0,15389.0,18943.0,324218.0,False,1,False
BANKBARODA,124144.0,20144.0,46459.0,1453761.0,False,1,False
BHARTIARTL,155478.0,13816.0,80733.0,225541.0,False,1,False
BEL,21575.0,4541.0,5708.0,78.0,False,1,False
BHEL,25833.0,445.0,1050.0,9128.0,False,1,False
BOSCHLTD,17150.0,2084.0,2216.0,31.0,False,1,False
BPCL,445601.0,13734.0,26554.0,58880.0,True,1,False
BRITANNIA,17244.0,2129.0,3136.0,2754.0,False,1,False
CANBK,119392.0,16571.0,48026.0,1369780.0,False,1,False
CHOLAFIN,22502.0,3852.0,6452.0,157943.0,False,1,False
CIPLA,26981.0,4987.0,20075.0,461.0,False,1,False
COALINDIA,140328.0,34350.0,93717.0,7816.0,False,1,False
DABUR,12447.0,1760.0,2341.0,1752.0,False,1,False
DIVISLAB,8614.0,1836.0,2558.0,8.0,False,1,False
DLF,7001.0,4004.0,1885.0,4290.0,False,1,False
DMART,57213.0,2720.0,4476.0,713.0,False,1,False
DRREDDY,31229.0,5448.0,8311.0,4854.0,False,1,False
EICHERMOT,17091.0,4268.0,4472.0,404.0,False,1,False
GAIL,136081.0,11541.0,16784.0,19632.0,False,1,False
GODREJCP,14152.0,-453.0,2996.0,3828.0,False,1,False
GRASIM,137116.0,8693.0,27506.0,158159.0,False,1,False
HAL,31154.0,8472.0,9954.0,124.0,False,1,False
HAVELLS,20677.0,1400.0,2008.0,332.0,False,1,False
HCLTECH,115308.0,17085.0,25139.0,5791.0,False,1,False
HDFCBANK,329022.0,72168.0,206009.0,3107503.0,True,-1,True
HDFCLIFE,100772.0,1747.0,100048.0,950.0,False,1,False
HEROMOTOCO,40098.0,4133.0,34537.0,588.0,False,1,False
HINDALCO,224018.0,12488.0,196087.0,60959.0,False,-1,True
HINDUNILVR,62661.0,10757.0,47902.0,1651.0,False,1,False
ICICIBANK,180551.0,52416.0,125722.0,1651008.0,True,-1,True
ICICIGI,23301.0,2518.0,19938.0,35.0,False,1,False
ICICIPRULI,77572.0,974.0,77251.0,0.0,False,1,False
INDUSINDBK,49004.0,8122.0,20104.0,432404.0,False,1,False
INFY,159988.0,27687.0,38145.0,8804.0,False,1,False
IOC,761485.0,10909.0,32930.0,163401.0,True,-1,True
IRCTC,4455.0,1200.0,1505.0,42.0,False,1,False
IRFC,26902.0,6537.0,26758.0,403111.0,False,1,False
ITC,75135.0,20829.0,26640.0,304.0,False,1,False
JINDALSTEL,50019.0,5060.0,10327.0,17266.0,False,1,False
JIOFIN,1968.0,1607.0,1531.0,0.0,False,1,False
JSWENERGY,11416.0,1988.0,5382.0,30853.0,False,1,False
JSWSTEEL,170274.0,3312.0,22478.0,87984.0,False,1,False
KOTAKBANK,64053.0,22530.0,50872.0,520374.0,False,1,False
LICI,896106.0,41468.0,25851.0,10.0,True,-1,True
LODHA,13574.0,2511.0,3812.0,7990.0,False,1,False
LT,238881.0,16150.0,30815.0,2326.0,False,1,False
LTIM,37129.0,4574.0,6434.0,2326.0,False,1,False
M&M,145893.0,13009.0,27204.0,116844.0,False,1,False
MARUTI,145213.0,14021.0,19766.0,158.0,False,1,False
MOTHERSON,109382.0,4123.0,10474.0,19922.0,False,1,False
NAUKRI,2662.0,551.0,751.0,256.0,False,1,False
NESTLEIND,19786.0,3323.0,4726.0,370.0,False,1,False
NHPC,9690.0,3417.0,5015.0,34210.0,False,1,False
