id,company_id,compounded_sales_growth,compounded_profit_growth,stock_price_cagr,roe,sales_growth_pct,profit_growth_pct,stock_cagr_pct,roe_pct
1,HDFCBANK,10 Years: 21%,10 Years: 22%,10 Years:     15%,10 Years:     17%,21.0,22.0,15.0,17.0
10,SBILIFE,5 Years:       24%,5 Years:            6%,5 Years:       8%,5 Years          14%,24.0,6.0,8.0,
11,SBILIFE,3 Years:       17%,3 Years:            9%,3 Years:       7%,3 Years:         13%,17.0,9.0,7.0,13.0
12,SBILIFE,TTM:            43%,TTM:                 18%,1 Year:         -2%,Last Year:      12%,43.0,18.0,-2.0,12.0
13,TCS,10 Years:     11%,10 Years:          9%,10 Years:      14%,10 Years:       40%,11.0,9.0,14.0,40.0
14,TCS,5 Years:       10%,5 Years:            8%,5 Years:      16%,5 Years:          44%,10.0,8.0,16.0,44.0
15,TCS,3 Years:       14%,3 Years:            12%,3 Years:      8%,3 Years:          47%,14.0,12.0,8.0,47.0
16,TCS,TTM:            5%,TTM:                 8%,1 Year:       16%,Last Year:       52%,5.0,8.0,16.0,52.0
17,WIPRO,10 Years:     8%,10 Years:          3%,10 Years:     12%,10 Years:        18%,8.0,3.0,12.0,18.0
18,WIPRO,5 Years:       9%,5 Years:            4%,5 Years:     20%,5 Years:          17%,9.0,4.0,20.0,17.0
19,WIPRO,3 Years:      13%,3 Years:            0%,3 Years:      -1%,3 Years:          17%,13.0,0.0,-1.0,17.0
2,HDFCBANK,5 Years:       22%,5 Years:           23%,5 Years:       8%,5 Years:       17%,22.0,23.0,8.0,17.0
20,WIPRO,TTM:           -3%,TTM:                 1%,1 Year:       39%,Last Year:       14%,-3.0,1.0,39.0,14.0
3,HDFCBANK,3 Years:       30%,3 Years:           26%,3 Years:       8%,3 Years:       17%,30.0,26.0,8.0,17.0
4,HDFCBANK,TTM:            47%,TTM:                27%,1 Year:        13%,Last Year:    17%,47.0,27.0,13.0,17.0
5,INFY,10 Years:     12%,10 Years:         9%,10 Years:     15%,10 Years:      27%,12.0,9.0,15.0,27.0
6,INFY,5 Years:       13%,5 Years:           11%,5 Years:     22%,5 Years:        29%,13.0,11.0,22.0,29.0
7,INFY,3 Years:       5%,3 Years:           10%,3 Years:     4%,3 Years:        31%,5.0,10.0,4.0,31.0
8,INFY,TTM:            3%,TTM:                 8%,1 Year:       27%,Last Year:     32%,3.0,8.0,27.0,32.0
9,SBILIFE,10 Years:     23%,10 Years:          9%,10 Years:      9%,10 Years:      16%,23.0,9.0,9.0,16.0
