company_id,peers
ABB,"DIVISLAB, NAUKRI, ZYDUSLIFE, SUNPHARMA, EICHERMOT"
ADANIENSOL,"TVSMOTOR, ADANIENT, GRASIM, TATAPOWER, M&M"
ADANIENT,"TVSMOTOR, ADANIENSOL, TATAPOWER, GRASIM, TITAN"
ADANIGREEN,"INDUSINDBK, IRFC, UNIONBANK, PFC, RECLTD"
ADANIPORTS,"NHPC, POWERGRID, HAL, DLF, ADANIPOWER"
ADANIPOWER,"BEL, HAL, LODHA, EICHERMOT, SUNPHARMA"
AMBUJACEM,"BOSCHLTD, SIEMENS, UNITDSPR, LTIM, ASIANPAINT"
APOLLOHOSP,"TATAMOTORS, MOTHERSON, BPCL, IOC, JSWSTEEL"
ASIANPAINT,"DABUR, LTIM, SIEMENS, VBL, BOSCHLTD"
ATGL,"TRENT, DABUR, ASIANPAINT, LTIM, BAJAJ-AUTO"
AXISBANK,"CHOLAFIN, BANKBARODA, INDUSINDBK, IRFC, UNIONBANK"
BAJAJ-AUTO,"HCLTECH, DABUR, PIDILITIND, ASIANPAINT, SBIN"
BAJAJFINSV,"PNB, ADANIGREEN, INDUSINDBK, IRFC, UNIONBANK"
BAJAJHLDNG,"JIOFIN, DLF, POWERGRID, NHPC, ADANIPORTS"
BAJFINANCE,"COALINDIA, HINDALCO, HINDUNILVR, INDIGO, AXISBANK"
BANKBARODA,"UNIONBANK, INDUSINDBK, IRFC, PFC, ADANIGREEN"
BEL,"ADANIPOWER, LODHA, JSWENERGY, HAL, TORNTPHARM"
BHARTIARTL,"VEDL, TITAN, PNB, ADANIENT, TVSMOTOR"
BHEL,"GODREJCP, ONGC, ICICIPRULI, MOTHERSON, ZOMATO"
BOSCHLTD,"SIEMENS, AMBUJACEM, UNITDSPR, LTIM, ASIANPAINT"
BPCL,"MOTHERSON, IOC, APOLLOHOSP, BHEL, GODREJCP"
BRITANNIA,"RELIANCE, TRENT, JINDALSTEL, ONGC, ULTRACEMCO"
CANBK,"UNIONBANK, IRFC, ADANIGREEN, PFC, RECLTD"
CHOLAFIN,"AXISBANK, BANKBARODA, INDUSINDBK, UNIONBANK, ADANIGREEN"
CIPLA,"HEROMOTOCO, HINDUNILVR, INDIGO, ICICIGI, HINDALCO"
COALINDIA,"HINDALCO, HINDUNILVR, INDIGO, BAJFINANCE, CIPLA"
DABUR,"ASIANPAINT, BAJAJ-AUTO, HCLTECH, VBL, LTIM"
DIVISLAB,"ABB, NAUKRI, ZYDUSLIFE, SUNPHARMA, EICHERMOT"
DLF,"JIOFIN, NHPC, ADANIPORTS, POWERGRID, BAJAJHLDNG"
DMART,"LICI, ZOMATO, LT, HAVELLS, TATACONSUM"
DRREDDY,"NESTLEIND, SBIN, PIDILITIND, BAJAJ-AUTO, HCLTECH"
EICHERMOT,"IRCTC, ITC, SUNPHARMA, DIVISLAB, ABB"
GAIL,"ULTRACEMCO, TATACONSUM, TECHM, LT, SHREECEM"
GODREJCP,"BHEL, BPCL, MOTHERSON, ICICIPRULI, IOC"
GRASIM,"TATAPOWER, M&M, TVSMOTOR, ADANIENT, ADANIENSOL"
HAL,"ADANIPOWER, ITC, IRCTC, EICHERMOT, BEL"
HAVELLS,"TECHM, LT, TATACONSUM, LICI, SHREECEM"
HCLTECH,"PIDILITIND, BAJAJ-AUTO, DABUR, VBL, SBIN"
HDFCBANK,"INFY, SBILIFE, TCS, WIPRO, ICICIBANK"
HDFCLIFE,"ICICIPRULI, ZOMATO, DMART, LICI, BHEL"
HEROMOTOCO,"CIPLA, ICICIGI, INDIGO, HINDUNILVR, HDFCLIFE"
HINDALCO,"COALINDIA, INDIGO, HINDUNILVR, BAJFINANCE, CIPLA"
HINDUNILVR,"INDIGO, HINDALCO, COALINDIA, CIPLA, HEROMOTOCO"
ICICIBANK,"KOTAKBANK, CANBK, SHRIRAMFIN, PNB, BAJAJFINSV"
ICICIGI,"HEROMOTOCO, CIPLA, HDFCLIFE, MARUTI, AMBUJACEM"
ICICIPRULI,"HDFCLIFE, ZOMATO, DMART, LICI, BHEL"
INDIGO,"HINDUNILVR, HINDALCO, COALINDIA, CIPLA, HEROMOTOCO"
INDUSINDBK,"ADANIGREEN, BANKBARODA, IRFC, UNIONBANK, PFC"
INFY,"TCS, WIPRO, SBILIFE, HDFCBANK, BAJAJHLDNG"
IOC,"BPCL, TATASTEEL, MOTHERSON, JSWSTEEL, APOLLOHOSP"
IRCTC,"ITC, EICHERMOT, SUNPHARMA, DIVISLAB, ABB"
IRFC,"PFC, RECLTD, ADANIGREEN, UNIONBANK, INDUSINDBK"
ITC,"IRCTC, EICHERMOT, SUNPHARMA, HAL, DIVISLAB"
JINDALSTEL,"ULTRACEMCO, GAIL, TRENT, RELIANCE, SHREECEM"
JIOFIN,"DLF, BAJAJHLDNG, NHPC, ADANIPORTS, POWERGRID"
JSWENERGY,"BEL, BRITANNIA, LODHA, TORNTPHARM, ADANIPOWER"
JSWSTEEL,"TATASTEEL, IOC, APOLLOHOSP, BPCL, TATAMOTORS"
KOTAKBANK,"ICICIBANK, CANBK, SHRIRAMFIN, RECLTD, PFC"
LICI,"DMART, ZOMATO, LT, HAVELLS, TATACONSUM"
